,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000
0,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018
100,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63292.94190180912,63464.71537933452,63733.95482114156,64103.49051500398,64572.490434241896,65141.03802637501,65808.98805210399,66576.25255389123,67442.7293815742
200,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63292.94190180912,63402.231000429245,63624.66572252143,63943.540171817054,64362.90508356639,64881.623457812595,65499.85502853328,66217.43555173295,67034.28188194525,67950.29072831434
300,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63292.94190180912,63402.231000429245,63562.18134361616,63834.251073196945,64202.95474037948,64672.038107137094,65240.440459970865,65908.30252816225,66675.46487978696,67541.84322868536,68507.33463106517
400,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63292.94190180912,63402.231000429245,63562.18134361616,63771.76669429167,64093.665641759355,64512.08776395018,65030.85510929537,65648.88795959983,66366.33185621626,67183.02622652709,68098.88713143622,69113.81160230676
500,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63292.94190180912,63402.231000429245,63562.18134361616,63771.76669429167,64031.18126285408,64402.79866533005,64870.90476610845,65439.30260892433,66106.91728765384,66873.89320295637,67740.07012927794,68705.3641026778,69769.67222256649
600,103107.28395970385,93279.35352290385,84710.92552290385,78364.27352290385,73180.45752290385,68180.45752290385,64200.457522903846,63292.94190180912,63402.231000429245,63562.18134361616,63771.76669429167,64031.18126285408,64340.31428642478,64761.61566748833,65279.352265737405,65897.33193697833,66614.47863439396,67430.93710570721,68346.54710051951,69361.22472293754,70474.86711714003
700,103157.28395970385,93329.35352290385,84760.92552290385,78414.27352290385,73230.45752290385,68230.45752290385,64262.94190180912,63402.231000429245,63562.18134361616,63771.76669429167,64031.18126285408,64340.31428642478,64699.131288583056,65170.06316711728,65737.38159379142,66404.89328371847,67171.52253714482,68037.41407694883,69002.40772077926,70066.41961751107,71229.34696184796
800,103207.28395970385,93379.35352290385,84810.92552290385,78464.27352290385,73280.45752290385,68292.94190180913,64372.231000429245,63562.18134361616,63771.76669429167,64031.18126285408,64340.31428642478,64699.131288583056,65107.578788212006,65628.0924951713,66244.94294053153,66961.9371864693,67777.99950838639,68693.27469720856,69707.60261535281,70820.89946221901,72033.06248153522
900,103257.28395970385,93429.35352290385,84860.92552290385,78514.27352290385,73342.94190180913,68402.23100042925,64532.18134361616,63771.76669429167,64031.18126285408,64340.31428642478,64699.131288583056,65107.578788212006,65565.60811626603,66135.65384191142,66801.98684328239,67568.41415771091,68433.86012864613,69398.46959178211,70462.08246006072,71624.61498190623,72885.96445038446
1000,103307.28395970385,93479.35352290385,84910.92552290385,78576.75790180912,73452.23100042925,68562.18134361616,64741.76669429167,64031.18126285408,64340.31428642478,64699.131288583056,65107.578788212006,65565.60811626603,66073.16946300614,66692.69774466225,67408.46381452399,68224.27477797064,69139.05502321968,70152.94943649002,71265.79797974795,72477.51695075548,73788.00369177628
